Product_Number,T일 예정 수주량,T+1일 예정 수주량,T+2일 예정 수주량,T+3일 예정 수주량,T+4일 예정 수주량,작년 T일 예정 수주량,작년 T+1일 예정 수주량,작년 T+2일 예정 수주량,작년 T+3일 예정 수주량,작년 T+4일 예정 수주량,T일 예상 수주량,T+1일 예상 수주량,T+2일 예상 수주량,T+3일 예상 수주량,T+4일 예상 수주량,DateTime,DoW,Temperature,Humidity
Product_a7,3,2,0,0,2,1,4,1,1,12,0,0,6,29,0,2022-02-12 17:34,Saturday,12.16421053,30.45789474
Product_b9,66,0,0,0,0,0,0,75,25,0,18,28,86,83,86,2022-02-05 6:00,Saturday,13.41,14.03086957
Product_ac,0,0,0,0,0,1,6,4,0,0,0,0,1,1,4,2022-03-09 6:33,Wednesday,16.68,21.752
Product_cb,306,190,189,164,0,0,334,333,334,333,328,324,0,326,391,2022-03-11 6:33,Friday,19.02594855,30.04318328
Product_db,16,12,16,0,0,0,0,15,14,0,18,14,3,11,0,2022-02-04 6:33,Friday,13.86566667,11.53
Product_e1,0,0,0,0,0,2,1,0,0,0,1,5,4,0,0,2022-02-17 5:54,Thursday,10.44060606,12.1330303
Product_86,609,411,0,0,323,399,453,430,371,449,0,0,523,488,436,2022-02-12 13:33,Saturday,12.16421053,30.45789474
Product_f0,1,1,31,7,0,0,0,0,0,0,0,0,0,9,0,2022-01-27 17:30,Thursday,10.60122997,30.04681654
Product_dc,2,0,0,0,0,0,8,8,17,127,182,0,0,152,0,2022-02-10 12:00,Thursday,14.10637367,28.37485424
Product_ae,7,7,1,10,0,0,33,10,20,35,30,33,0,35,0,2022-03-11 6:31,Friday,19.02594855,30.04318328
Product_e0,670,586,606,596,586,0,0,596,596,594,586,0,0,586,586,2022-02-18 6:39,Friday,12.20880499,19.34153389
Product_e0,660,0,0,566,550,550,566,550,0,0,586,586,586,586,586,2022-03-07 11:06,Monday,12.49631579,21.79947368
Product_91,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,2022-02-19 12:26,Saturday,13.72509434,27.18867925
Product_da,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-02-27 6:33,Sunday,16.35078947,25.96671053
Product_99,359,330,0,0,330,330,330,330,0,0,330,330,330,330,330,2022-02-21 6:35,Monday,8.996181818,11.62236364
Product_a4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-03-03 16:38,Thursday,16.33257143,19.11628571
Product_ee,531,514,515,515,515,0,0,514,515,515,515,495,0,0,496,2022-02-17 6:30,Thursday,10.44060606,12.1330303
Product_cd,0,0,0,56,67,76,56,40,41,0,41,41,41,39,48,2022-02-04 6:33,Friday,13.86566667,11.53
Product_f4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2022-02-10 6:31,Thursday,14.10637367,28.37485424
Product_96,131,118,128,159,0,0,190,256,240,215,256,0,0,0,176,2022-02-10 18:00,Thursday,14.10637367,28.37485424
Product_e0,638,586,596,0,0,554,554,564,554,564,0,0,554,554,554,2022-02-11 6:42,Friday,12.86730769,19.14115385
Product_f2,4,0,0,0,4,4,3,0,0,0,0,0,0,0,0,2022-02-21 6:35,Monday,8.996181818,11.62236364
Product_af,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-02-18 7:01,Friday,12.20880499,19.34153389
Product_ae,1,4,5,0,0,2,1,0,13,25,67,0,5,0,0,2022-01-28 6:20,Friday,12.71454545,21.40181818
Product_be,44,29,0,0,57,32,43,33,32,28,0,24,23,1,2,2022-03-13 6:30,Sunday,20.76761905,50.01571429
Product_e0,566,554,554,0,0,0,0,554,554,0,554,554,564,554,564,2022-02-07 7:06,Monday,8.561219512,22.85243902
Product_e1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2022-02-25 6:30,Friday,13.66616438,12.7109589
Product_b3,4,7,2,17,0,0,0,14,9,9,31,37,0,53,5,2022-02-18 7:01,Friday,12.20880499,19.34153389
Product_ea,3,31,4,0,0,0,0,0,5,28,0,0,17,94,35,2022-03-05 12:01,Saturday,19.718,30.57
Product_c0,961,852,885,0,0,837,860,912,889,506,365,0,396,520,593,2022-01-28 16:33,Friday,12.71454545,21.40181818
Product_bf,50,0,0,0,0,0,0,60,27,0,11,57,37,21,18,2022-02-03 6:31,Thursday,9.169761905,18.76190476
Product_94,81,61,0,0,49,49,46,44,42,0,0,0,44,42,44,2022-02-12 6:33,Saturday,12.16421053,30.45789474
Product_dd,24,0,2,23,0,0,0,2,0,5,14,0,0,1,3,2022-02-18 6:39,Friday,12.20880499,19.34153389
Product_ae,17,0,0,8,19,7,21,19,18,0,19,18,22,43,0,2022-03-01 7:06,Tuesday,16.41755319,19.47382979
Product_ac,1,0,0,0,0,1,3,1,1,0,0,0,0,0,0,2022-01-30 5:59,Sunday,9.10625,17.95275
Product_9f,121,65,0,0,0,0,0,0,0,0,181,187,170,188,0,2022-02-01 6:30,Tuesday,8.190540541,19.41513514
Product_c5,384,0,0,0,0,0,0,335,337,0,335,336,346,304,304,2022-02-07 15:38,Monday,8.561219512,22.85243902
Product_bd,13,20,15,26,6,0,0,0,12,11,25,18,27,0,30,2022-03-10 6:19,Thursday,15.80965789,36.52771053
Product_c6,929,679,645,642,0,0,658,648,653,666,602,540,0,226,0,2022-02-25 11:34,Friday,13.66616438,12.7109589
Product_b8,0,0,19,2,0,0,0,26,36,0,0,0,0,0,0,2022-01-27 6:34,Thursday,10.60122997,30.04681654
Product_b5,10,0,0,0,0,0,21,14,8,0,0,0,0,0,0,2022-03-13 16:26,Sunday,20.76761905,50.01571429
Product_f3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2022-02-09 12:58,Wednesday,8.872222222,23.94111111
Product_d7,0,0,0,21,19,19,15,19,20,0,19,12,4,0,0,2022-02-07 7:06,Monday,8.561219512,22.85243902
Product_c4,37,0,0,0,0,0,0,49,16,0,0,0,11,24,19,2022-02-02 6:01,Wednesday,9.003850932,24.23149068
Product_cc,48,0,0,40,33,9,0,0,0,0,0,82,87,79,44,2022-02-08 6:02,Tuesday,13.43014085,12.98084507
Product_89,54,54,0,32,36,55,49,79,135,0,178,155,146,180,207,2022-03-13 12:34,Sunday,20.76761905,50.01571429
Product_bd,1,0,0,0,7,0,0,0,9,22,0,27,16,27,32,2022-01-30 5:59,Sunday,9.10625,17.95275
Product_eb,5,4,45,210,233,0,0,174,125,127,81,209,0,0,137,2022-02-09 12:58,Wednesday,8.872222222,23.94111111
Product_b0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,2022-02-24 6:00,Thursday,10.90306122,12.60530612
Product_dc,0,0,0,0,0,19,85,0,0,0,9,45,209,236,0,2022-02-17 5:54,Thursday,10.44060606,12.1330303
Product_d0,16,0,0,5,0,0,30,22,0,0,0,0,0,0,0,2022-03-07 11:06,Monday,12.49631579,21.79947368
Product_84,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,2022-02-04 5:58,Friday,13.86566667,11.53
Product_8b,6,1,0,0,1,1,1,1,1,1,0,0,1,1,1,2022-02-12 6:33,Saturday,12.16421053,30.45789474
Product_be,30,14,0,0,0,36,52,63,48,26,0,21,29,25,19,2022-02-20 17:32,Sunday,10.45040816,20.37428571
Product_ed,22,2,0,0,0,0,0,0,11,14,0,0,0,0,10,2022-02-19 6:33,Saturday,13.72509434,27.18867925
Product_c8,10,0,0,0,0,0,0,0,8,0,104,104,104,104,112,2022-02-02 6:01,Wednesday,9.003850932,24.23149068
Product_87,0,0,0,0,0,0,2,24,44,0,58,65,72,71,45,2022-03-07 7:02,Monday,12.49631579,21.79947368
Product_f6,0,0,0,0,0,0,2,3,5,0,0,0,0,0,0,2022-03-05 12:01,Saturday,19.718,30.57
Product_cb,394,355,373,357,0,0,338,335,334,411,276,0,0,837,651,2022-03-04 11:57,Friday,15.47233333,24.22916667
Product_b4,0,0,0,0,0,0,3,25,0,5,15,15,30,0,0,2022-03-02 6:36,Wednesday,15.53977778,26.71933333
Product_c6,784,672,0,0,648,665,666,625,654,630,0,575,585,236,913,2022-02-27 6:33,Sunday,16.35078947,25.96671053
Product_bc,114,53,49,0,0,0,137,207,181,137,146,0,114,142,193,2022-02-19 6:33,Saturday,13.72509434,27.18867925
Product_a4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022-03-06 11:01,Sunday,14.54181818,13.35
Product_96,102,98,0,131,123,115,119,128,0,0,59,226,195,172,102,2022-02-28 6:38,Monday,12.18428571,21.08571429
Product_a2,55,58,89,57,108,0,0,93,159,202,198,121,312,0,112,2022-03-10 14:33,Thursday,15.80965789,36.52771053
Product_89,119,93,83,0,0,111,124,103,126,256,0,270,273,26,17,2022-02-20 17:32,Sunday,10.45040816,20.37428571
Product_b5,23,15,3,9,0,0,0,0,35,15,15,21,0,0,0,2022-03-10 6:19,Thursday,15.80965789,36.52771053
Product_d4,0,0,0,0,277,229,207,221,229,225,0,230,239,240,251,2022-01-29 15:06,Saturday,13.31375691,12.47176796
Product_eb,103,90,0,0,40,169,143,146,69,0,0,195,260,198,57,2022-03-13 15:30,Sunday,20.76761905,50.01571429
Product_e3,311,293,283,193,274,259,0,282,247,80,52,0,0,160,21,2022-02-18 6:39,Friday,12.20880499,19.34153389
Product_a8,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,2022-02-08 6:02,Tuesday,13.43014085,12.98084507
Product_ad,39,0,0,44,13,16,10,84,70,0,93,86,58,98,92,2022-03-13 15:38,Sunday,20.76761905,50.01571429
Product_9f,209,181,0,149,169,148,131,146,0,0,176,199,200,162,41,2022-03-01 7:06,Tuesday,16.41755319,19.47382979
Product_f3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2022-02-18 6:32,Friday,12.20880499,19.34153389
Product_ac,19,5,1,0,0,0,0,0,3,5,3,0,0,0,0,2022-03-04 15:57,Friday,15.47233333,24.22916667
Product_9a,56,63,42,0,16,7,7,7,6,0,0,0,0,0,0,2022-03-06 6:42,Sunday,14.54181818,13.35
Product_b6,87,0,0,102,97,60,46,35,0,0,39,9,18,262,142,2022-03-07 11:06,Monday,12.49631579,21.79947368
Product_8a,96,84,89,86,87,0,77,61,68,85,88,98,0,104,89,2022-02-25 11:34,Friday,13.66616438,12.7109589
Product_bf,41,27,0,0,26,2,10,20,20,21,0,32,21,1,0,2022-02-12 11:33,Saturday,12.16421053,30.45789474
Product_ee,559,0,0,477,467,494,455,410,0,0,106,515,529,482,481,2022-03-07 16:03,Monday,12.49631579,21.79947368
Product_d9,29,21,14,0,0,15,5,2,6,25,0,0,27,31,33,2022-03-12 6:29,Saturday,19.509,42.867
Product_e8,40,76,1,0,0,0,0,0,0,0,0,0,11,8,0,2022-01-28 6:37,Friday,12.71454545,21.40181818
Product_b6,9,47,0,0,67,69,84,111,43,81,0,121,49,0,0,2022-02-12 6:31,Saturday,12.16421053,30.45789474
Product_f2,0,0,5,0,4,0,0,0,0,4,0,0,0,0,0,2022-02-09 11:55,Wednesday,8.872222222,23.94111111
Product_ef,339,0,0,0,0,0,0,0,0,0,317,93,47,128,204,2022-02-09 5:54,Wednesday,8.872222222,23.94111111
Product_9e,199,164,157,128,136,103,0,34,39,148,122,273,380,0,380,2022-02-17 6:30,Thursday,10.44060606,12.1330303
Product_a1,324,260,0,0,0,0,0,0,0,0,480,480,480,480,0,2022-02-05 6:35,Saturday,13.41,14.03086957
Product_c3,283,205,208,199,0,0,204,223,241,220,318,376,0,93,0,2022-02-26 6:34,Saturday,14.05785714,20.79178571
Product_ea,3,31,4,0,0,0,0,0,5,28,0,0,17,94,35,2022-03-05 6:36,Saturday,19.718,30.57
Product_b6,32,0,0,43,7,5,16,34,11,0,24,87,121,265,263,2022-03-13 12:34,Sunday,20.76761905,50.01571429
Product_f4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2022-02-10 18:00,Thursday,14.10637367,28.37485424
Product_b2,7,0,0,0,0,0,0,3,7,0,39,6,0,7,4,2022-02-02 6:01,Wednesday,9.003850932,24.23149068
Product_ea,5,0,0,0,53,24,5,31,0,0,121,60,57,5,0,2022-02-21 12:08,Monday,8.996181818,11.62236364
Product_db,0,0,27,14,8,8,18,16,0,0,6,12,13,13,0,2022-02-16 7:03,Wednesday,12.67357143,13.08071429
Product_f3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2022-02-04 6:33,Friday,13.86566667,11.53
Product_ab,15,0,0,0,30,28,35,44,0,0,35,50,42,48,60,2022-02-21 12:08,Monday,8.996181818,11.62236364
Product_be,22,36,17,0,0,17,43,52,43,54,0,0,26,22,23,2022-03-05 6:36,Saturday,19.718,30.57
Product_a1,324,260,0,0,0,0,0,0,0,0,480,480,480,480,0,2022-02-09 5:54,Wednesday,8.872222222,23.94111111
Product_d2,0,0,0,41,63,76,56,40,41,0,41,41,41,39,48,2022-02-04 6:33,Friday,13.86566667,11.53
Product_c1,9,0,45,72,0,0,58,76,65,69,64,91,0,104,96,2022-02-10 16:57,Thursday,14.10637367,28.37485424
Product_85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2022-03-07 11:06,Monday,12.49631579,21.79947368
Product_91,0,10,0,3,1,1,5,0,0,0,0,0,0,1,0,2022-03-07 14:31,Monday,12.49631579,21.79947368
Product_a4,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022-02-27 6:33,Sunday,16.35078947,25.96671053
Product_af,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2022-03-13 15:38,Sunday,20.76761905,50.01571429
Product_8b,47,60,58,60,56,0,0,0,0,0,0,0,0,0,0,2022-03-10 17:29,Thursday,15.80965789,36.52771053
Product_b8,30,10,3,14,5,14,0,14,5,18,0,0,0,0,0,2022-02-17 6:30,Thursday,10.44060606,12.1330303
Product_c8,136,0,0,126,126,126,126,126,126,0,126,126,126,126,126,2022-02-28 15:34,Monday,12.18428571,21.08571429
Product_9e,0,194,199,181,0,0,121,110,104,112,126,84,0,259,216,2022-01-27 17:30,Thursday,10.60122997,30.04681654
Product_e9,82,0,0,0,0,0,0,0,0,0,35,121,67,56,48,2022-02-06 6:33,Sunday,10.74317992,15.46050209
Product_88,280,193,183,214,0,402,304,430,381,312,352,0,325,4,12,2022-03-06 6:29,Sunday,14.54181818,13.35
Product_d3,13,0,0,14,17,14,5,7,9,0,8,7,9,2,0,2022-03-13 15:03,Sunday,20.76761905,50.01571429
Product_91,0,0,3,5,0,0,0,0,0,1,2,0,0,0,0,2022-02-18 10:29,Friday,12.20880499,19.34153389
Product_eb,184,176,0,0,98,140,46,90,117,0,0,158,151,0,211,2022-02-12 17:34,Saturday,12.16421053,30.45789474
Product_bc,82,0,0,0,133,203,177,150,0,0,147,118,112,154,163,2022-02-22 7:05,Tuesday,14.53931507,15.87356164
Product_ce,88,133,116,144,0,122,156,104,87,93,234,0,21,0,0,2022-02-26 12:38,Saturday,14.05785714,20.79178571
Product_9e,381,330,0,0,0,0,0,0,0,0,330,330,330,330,330,2022-02-02 6:01,Wednesday,9.003850932,24.23149068
Product_ac,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2022-01-26 18:30,Wednesday,12.83689655,35.81396552
Product_cc,48,0,0,40,33,9,0,0,0,0,0,82,87,79,44,2022-01-30 6:32,Sunday,9.10625,17.95275
Product_8e,112,133,83,65,135,0,0,113,110,122,169,0,0,181,196,2022-02-19 6:29,Saturday,13.72509434,27.18867925
Product_c3,276,0,0,281,249,266,180,144,0,0,194,206,237,381,153,2022-03-07 7:02,Monday,12.49631579,21.79947368
Product_95,156,151,136,140,0,156,143,136,119,121,0,0,16,7,106,2022-03-06 6:29,Sunday,14.54181818,13.35
Product_e4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-01-29 6:32,Saturday,13.31375691,12.47176796
Product_9b,0,0,0,0,0,0,0,0,8,0,0,0,30,0,0,2022-02-12 17:34,Saturday,12.16421053,30.45789474
Product_c2,141,128,128,128,0,0,128,128,128,128,128,0,0,80,80,2022-03-05 6:32,Saturday,19.718,30.57
Product_da,2,1,0,0,0,0,0,2,3,0,0,0,0,0,0,2022-03-05 6:00,Saturday,19.718,30.57
Product_8b,5,0,0,1,1,1,1,1,1,0,1,1,1,1,1,2022-02-15 7:05,Tuesday,16.93821429,23.9175
Product_e0,630,0,0,102,0,586,586,586,0,0,586,586,586,586,586,2022-03-13 15:03,Sunday,20.76761905,50.01571429
Product_f2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022-03-10 6:19,Thursday,15.80965789,36.52771053
Product_a6,2,0,0,0,0,0,0,0,36,0,84,132,153,37,43,2022-02-05 6:35,Saturday,13.41,14.03086957
Product_e4,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2022-02-21 15:05,Monday,8.996181818,11.62236364
Product_de,0,0,27,14,8,8,18,16,0,0,6,12,13,13,0,2022-02-15 8:35,Tuesday,16.93821429,23.9175
Product_e6,25,0,0,0,46,11,4,20,0,0,22,21,29,65,5,2022-02-24 6:28,Thursday,10.90306122,12.60530612
Product_d8,6,6,13,0,0,26,28,6,0,0,0,0,0,0,0,2022-02-11 6:42,Friday,12.86730769,19.14115385
Product_9e,199,164,157,128,136,103,0,34,39,148,122,273,380,0,380,2022-02-17 16:30,Thursday,10.44060606,12.1330303
Product_ba,122,80,0,0,0,105,69,74,107,133,0,162,160,106,124,2022-02-20 17:32,Sunday,10.45040816,20.37428571
Product_bf,38,49,24,21,0,0,25,5,5,8,6,3,0,2,0,2022-02-11 6:29,Friday,12.86730769,19.14115385
Product_c1,29,13,6,0,0,0,49,79,70,81,71,0,66,77,83,2022-02-19 12:26,Saturday,13.72509434,27.18867925
Product_92,130,0,102,110,102,102,80,0,0,83,93,69,66,53,0,2022-03-03 6:01,Thursday,16.33257143,19.11628571
Product_d6,101,0,0,0,99,101,93,97,103,0,105,105,78,1,0,2022-02-23 6:29,Wednesday,11.64701493,16.43373134
Product_a9,184,0,0,164,165,135,128,182,0,0,210,177,171,109,157,2022-03-07 12:31,Monday,12.49631579,21.79947368
Product_a1,504,0,0,480,480,480,480,480,0,0,0,400,400,400,400,2022-02-14 6:35,Monday,15.194,37.7588
Product_e3,363,326,0,293,236,221,283,293,0,0,80,166,13,28,192,2022-03-01 7:06,Tuesday,16.41755319,19.47382979
Product_cf,0,0,187,186,197,195,252,278,0,366,341,63,380,320,0,2022-03-01 7:42,Tuesday,16.41755319,19.47382979
Product_da,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2022-02-22 7:05,Tuesday,14.53931507,15.87356164
Product_e9,95,12,35,0,0,0,20,9,0,0,0,0,0,0,0,2022-02-11 6:29,Friday,12.86730769,19.14115385
Product_dd,0,0,0,0,0,0,21,0,0,1,15,0,0,17,1,2022-03-05 6:00,Saturday,19.718,30.57
Product_ac,1,0,0,0,0,1,3,1,1,0,0,0,0,0,0,2022-01-29 15:06,Saturday,13.31375691,12.47176796
